"placa","estatus","placa_anterior","years_adeudos","years"
"322WHY","Adeudos",NA,7,"2020"
"322WHY","Adeudos",NA,7,"2021"
"322WJA","Adeudos",NA,5,"2017"
"322WJA","Adeudos",NA,5,"2018"
"322WJA","Adeudos",NA,5,"2019"
"322WJA","Adeudos",NA,5,"2020"
"322WJA","Adeudos",NA,5,"2021"
"322WJC","Adeudos",NA,5,"2017"
"322WJC","Adeudos",NA,5,"2018"
"322WJC","Adeudos",NA,5,"2019"
"322WJC","Adeudos",NA,5,"2020"
"322WJC","Adeudos",NA,5,"2021"
"322WJE","Adeudos",NA,1,"2021"
"322WJG","Adeudos",NA,3,"2019"
"322WJG","Adeudos",NA,3,"2020"
"322WJG","Adeudos",NA,3,"2021"
"322WJK","Cuenta con Placa Anterior y Adeudos","322WJK",3,"2019"
"322WJK","Cuenta con Placa Anterior y Adeudos","322WJK",3,"2020"
"322WJK","Cuenta con Placa Anterior y Adeudos","322WJK",3,"2021"
"322WJM","Sin adeudos",NA,0,"0"
"322WJV","Adeudos",NA,7,"2014"
"322WJV","Adeudos",NA,7,"2015"
"322WJV","Adeudos",NA,7,"2017"
"322WJV","Adeudos",NA,7,"2018"
"322WJV","Adeudos",NA,7,"2019"
"322WJV","Adeudos",NA,7,"2020"
"322WJV","Adeudos",NA,7,"2021"
"322WJY","Adeudos",NA,4,"2018"
"322WJY","Adeudos",NA,4,"2019"
"322WJY","Adeudos",NA,4,"2020"
"322WJY","Adeudos",NA,4,"2021"
"322WKD","Adeudos",NA,6,"2016"
"322WKD","Adeudos",NA,6,"2017"
"322WKD","Adeudos",NA,6,"2018"
"322WKD","Adeudos",NA,6,"2019"
"322WKD","Adeudos",NA,6,"2020"
"322WKD","Adeudos",NA,6,"2021"
"322WKE","Cuenta con Placa Anterior y Adeudos","322WKE",1,"2019"
"322WKF","Cuenta con Placa Anterior y Adeudos","738PTH",4,"2018"
"322WKF","Cuenta con Placa Anterior y Adeudos","738PTH",4,"2019"
"322WKF","Cuenta con Placa Anterior y Adeudos","738PTH",4,"2020"
"322WKF","Cuenta con Placa Anterior y Adeudos","738PTH",4,"2021"
"322WKH","Adeudos",NA,2,"2020"
"322WKH","Adeudos",NA,2,"2021"
"322WKJ","Adeudos",NA,4,"2018"
"322WKJ","Adeudos",NA,4,"2019"
"322WKJ","Adeudos",NA,4,"2020"
"322WKJ","Adeudos",NA,4,"2021"
"322WKN","Cuenta con Placa Anterior y Adeudos","426VNM",5,"2017"
"322WKN","Cuenta con Placa Anterior y Adeudos","426VNM",5,"2018"
"322WKN","Cuenta con Placa Anterior y Adeudos","426VNM",5,"2019"
"322WKN","Cuenta con Placa Anterior y Adeudos","426VNM",5,"2020"
"322WKN","Cuenta con Placa Anterior y Adeudos","426VNM",5,"2021"
"322WKR","Adeudos",NA,3,"2019"
"322WKR","Adeudos",NA,3,"2020"
"322WKR","Adeudos",NA,3,"2021"
"322WKV","Sin adeudos",NA,0,"0"
"322WKW","Adeudos",NA,6,"2016"
"322WKW","Adeudos",NA,6,"2017"
"322WKW","Adeudos",NA,6,"2018"
"322WKW","Adeudos",NA,6,"2019"
"322WKW","Adeudos",NA,6,"2020"
"322WKW","Adeudos",NA,6,"2021"
"322WKY","Sin adeudos",NA,0,"0"
"322WKZ","El número de placa no se localizó en el padrón",NA,0,"0"
"322WLC","Sin adeudos",NA,0,"0"
